pincode,district,Total_Enrollments
766029,Kalahandi,243
767035,Balangir,243
768027,Bargarh,242
761104,Ganjam,240
761111,Ganjam,238
761105,Ganjam,236
761118,Ganjam,235
752017,Puri,235
757036,Mayurbhanj,232
757033,Mayurbhanj,232
761109,Ganjam,230
761032,Ganjam,230
754032,Cuttack,228
755026,Jajpur,227
751002,Khordha,226
768109,Deogarh,225
768033,Bargarh,224
752050,Khordha,223
754029,Cuttack,223
764063,Koraput,222
752054,Khordha,220
764086,Malkangiri,220
764087,Malkangiri,220
770033,Sundargarh,215
756133,Bhadrak,214
752104,Puri,213
755023,Jajpur,213
764038,Koraput,212
756002,Balasore,210
767065,Balangir,210
758028,Keonjhar,209
764039,Koraput,208
768037,Bargarh,208
754140,Jagatsinghpur,208
756083,Balasore,207
754217,Kendrapara,206
767038,Balangir,205
766118,Nuapada,204
761217,Gajapati,202
754134,Kendrapara,201
766011,Kalahandi,201
767062,Subarnapur,200
761008,Ganjam,200
752081,Nayagarh,200
755005,Jajpur,200
764057,Koraput,199
767020,Balangir,199
766023,Kalahandi,198
758035,Keonjhar,198
767027,Balangir,198
754008,Cuttack,197
765002,Rayagada,196
752030,Khordha,196
754004,Cuttack,195
768005,Sambalpur,193
758034,Keonjhar,193
757091,Mayurbhanj,193
761107,Ganjam,191
759129,Angul,190
758029,Keonjhar,190
754212,Kendrapara,190
766037,Kalahandi,189
757050,Mayurbhanj,188
768104,Bargarh,188
761108,Ganjam,187
752055,Khordha,187
768049,Bargarh,186
755016,Jajpur,186
766012,Kalahandi,186
752001,Puri,186
767028,Balangir,185
764078,Nabarangpur,185
759126,Angul,185
759103,Angul,184
754220,Kendrapara,184
770036,Sundargarh,183
756036,Balasore,183
756042,Balasore,182
758013,Keonjhar,182
756129,Bhadrak,182
756047,Balasore,181
754214,Jajpur,181
756164,Bhadrak,181
756023,Balasore,180
752106,Puri,180
754213,Kendrapara,180
759128,Angul,179
752031,Khordha,179
759119,Angul,179
754108,Jagatsinghpur,178
762104,Kandhamal,178
762014,Boudh,178
761131,Ganjam,177
757040,Mayurbhanj,177
754200,Cuttack,177
768216,Jharsuguda,177
768105,Sambalpur,176
764052,Malkangiri,176
759100,Angul,175
761121,Ganjam,174
755011,Jajpur,174
755043,Jajpur,174
759015,Dhenkanal,173
756114,Bhadrak,173
764005,Koraput,173
759018,Dhenkanal,173
757045,Mayurbhanj,172
761029,Ganjam,172
769004,Sundargarh,171
762107,Kandhamal,171
756003,Balasore,170
754102,Jagatsinghpur,170
757030,Mayurbhanj,170
754139,Jagatsinghpur,170
754103,Jagatsinghpur,169
757046,Mayurbhanj,168
759121,Dhenkanal,167
757039,Mayurbhanj,167
761015,Gajapati,167
754248,Kendrapara,166
761020,Ganjam,166
761106,Ganjam,166
757087,Mayurbhanj,165
756030,Balasore,165
752109,Puri,165
760003,Ganjam,164
754132,Jagatsinghpur,164
758014,Keonjhar,164
756132,Bhadrak,164
756040,Balasore,163
766017,Kalahandi,163
757047,Mayurbhanj,163
766019,Kalahandi,163
751003,Khordha,162
765018,Rayagada,162
757049,Mayurbhanj,162
757052,Mayurbhanj,162
754207,Cuttack,161
752111,Puri,161
762110,Kandhamal,160
756025,Balasore,160
767001,Balangir,160
767024,Balangir,159
758043,Keonjhar,159
755014,Jajpur,158
756033,Balasore,157
752063,Nayagarh,157
754005,Khordha,157
758025,Keonjhar,155
762105,Kandhamal,155
770016,Sundargarh,154
757041,Mayurbhanj,153
758016,Keonjhar,153
756116,Bhadrak,152
757042,Mayurbhanj,152
769001,Sundargarh,152
756044,Balasore,151
762101,Kandhamal,151
767029,Balangir,151
761212,Gajapati,151
756126,Balasore,150
752110,Puri,150
752100,Khordha,150
768112,Sambalpur,150
767017,Subarnapur,149
758022,Keonjhar,148
764028,Koraput,148
754225,Kendrapara,148
766020,Kalahandi,147
758080,Keonjhar,147
759013,Dhenkanal,147
759020,Dhenkanal,147
756043,Balasore,147
761018,Ganjam,146
757035,Mayurbhanj,145
757019,Mayurbhanj,145
758019,Keonjhar,145
766013,Kalahandi,144
752068,Nayagarh,143
752014,Puri,143
751019,Khordha,143
756115,Bhadrak,142
756058,Balasore,142
756020,Balasore,142
768200,Sambalpur,142
761014,Ganjam,141
752066,Khordha,141
754009,Cuttack,141
757053,Mayurbhanj,141
768107,Sambalpur,141
752019,Khordha,141
757079,Mayurbhanj,141
766100,Kalahandi,140
752103,Khordha,140
759019,Dhenkanal,140
768035,Bargarh,140
768212,Sambalpur,139
754035,Cuttack,139
761117,Ganjam,139
768103,Bargarh,139
754001,Khordha,139
755004,Jajpur,138
752070,Nayagarh,138
754104,Jagatsinghpur,138
757092,Mayurbhanj,138
767067,Balangir,138
767045,Subarnapur,138
759014,Dhenkanal,137
768040,Bargarh,137
768202,Jharsuguda,137
752114,Puri,137
770044,Sundargarh,136
758047,Keonjhar,136
764055,Koraput,136
768110,Deogarh,136
756121,Bhadrak,135
758032,Keonjhar,135
755025,Jajpur,135
759028,Dhenkanal,135
760002,Ganjam,134
768222,Sambalpur,134
752021,Khordha,134
765016,Rayagada,133
766103,Kalahandi,133
770018,Sundargarh,133
764021,Koraput,132
761003,Ganjam,132
766001,Kalahandi,132
757018,Mayurbhanj,131
752105,Puri,131
768228,Sambalpur,131
754204,Cuttack,131
755006,Jajpur,130
754113,Jagatsinghpur,130
757025,Mayurbhanj,130
752012,Puri,130
756171,Bhadrak,130
770015,Sundargarh,130
752084,Nayagarh,130
758015,Keonjhar,130
762012,Kandhamal,129
759118,Angul,129
761026,Ganjam,128
768201,Jharsuguda,128
752026,Nayagarh,128
768034,Bargarh,128
754119,Jagatsinghpur,128
755003,Jajpur,128
758081,Keonjhar,128
758038,Keonjhar,127
762026,Boudh,127
752108,Puri,127
752101,Khordha,126
762021,Kandhamal,126
761119,Ganjam,126
764027,Koraput,126
761028,Ganjam,126
761027,Ganjam,125
756041,Balasore,125
752056,Khordha,124
755017,Jajpur,124
754209,Cuttack,124
762017,Boudh,124
768006,Sambalpur,124
756181,Bhadrak,123
762024,Boudh,123
754022,Cuttack,123
759141,Angul,123
757032,Mayurbhanj,122
761207,Gajapati,122
752080,Nayagarh,122
754037,Cuttack,121
757020,Mayurbhanj,121
759022,Dhenkanal,121
759039,Dhenkanal,121
754250,Kendrapara,121
754221,Cuttack,121
755027,Jajpur,120
760001,Ganjam,120
759017,Dhenkanal,120
764001,Koraput,120
759026,Dhenkanal,120
756056,Balasore,119
752020,Khordha,119
752023,Khordha,119
762109,Kandhamal,119
754205,Jajpur,119
753011,Cuttack,118
768221,Sambalpur,118
761005,Ganjam,117
754138,Jagatsinghpur,117
752034,Khordha,116
758041,Keonjhar,116
755013,Jajpur,115
762020,Boudh,115
757014,Mayurbhanj,115
752015,Puri,115
755022,Jajpur,115
761101,Ganjam,115
758076,Keonjhar,114
759027,Dhenkanal,114
770035,Sundargarh,114
754202,Cuttack,113
754219,Kendrapara,113
759021,Dhenkanal,113
768050,Bargarh,113
754106,Jagatsinghpur,112
753004,Cuttack,112
757077,Mayurbhanj,112
756038,Balasore,112
758044,Keonjhar,112
752061,Khordha,111
765001,Rayagada,111
754246,Kendrapara,110
766101,Kalahandi,110
762100,Kandhamal,110
753014,Cuttack,110
759117,Angul,109
759025,Dhenkanal,109
761010,Ganjam,109
761102,Ganjam,109
761012,Ganjam,109
761031,Ganjam,108
756081,Balasore,108
754137,Jagatsinghpur,108
756001,Balasore,108
756046,Balasore,107
754111,Jagatsinghpur,107
756112,Bhadrak,107
756101,Bhadrak,107
762102,Kandhamal,106
759123,Angul,106
754030,Cuttack,106
752079,Nayagarh,106
757026,Mayurbhanj,105
758030,Keonjhar,105
754222,Kendrapara,105
757054,Mayurbhanj,104
756127,Bhadrak,104
752016,Puri,104
761124,Ganjam,104
762018,Boudh,103
762013,Boudh,103
768001,Sambalpur,102
757022,Mayurbhanj,102
765025,Rayagada,101
752027,Khordha,101
767066,Balangir,101
758027,Keonjhar,100
754028,Cuttack,100
754160,Jagatsinghpur,100
761209,Ganjam,100
754131,Cuttack,99
769003,Sundargarh,98
758023,Keonjhar,98
762028,Kandhamal,98
768226,Jharsuguda,97
752107,Puri,97
761013,Ganjam,97
754245,Kendrapara,96
761125,Ganjam,96
757029,Mayurbhanj,96
757016,Mayurbhanj,96
756124,Bhadrak,96
758078,Keonjhar,96
752085,Nayagarh,96
761009,Ganjam,95
758079,Keonjhar,95
768213,Jharsuguda,95
770012,Sundargarh,95
754292,Jajpur,95
756021,Balasore,95
768113,Sambalpur,94
759023,Dhenkanal,94
751030,Khordha,94
752035,Khordha,94
759143,Angul,94
758001,Keonjhar,94
757001,Mayurbhanj,94
754133,Jagatsinghpur,94
764014,Koraput,94
761123,Ganjam,93
762029,Kandhamal,93
761214,Gajapati,93
755015,Jajpur,93
755061,Kendrapara,93
754208,Kendrapara,93
761001,Ganjam,92
770043,Sundargarh,92
770051,Sundargarh,92
758083,Keonjhar,92
754136,Jagatsinghpur,91
765026,Rayagada,91
756059,Balasore,91
755001,Jajpur,91
768048,Bargarh,91
755012,Jajpur,90
752093,Nayagarh,90
770048,Sundargarh,89
756134,Balasore,89
769012,Sundargarh,89
765022,Rayagada,89
754107,Jagatsinghpur,88
761115,Ganjam,88
756135,Bhadrak,87
767048,Balangir,87
766110,Kalahandi,86
768119,Deogarh,86
770039,Sundargarh,86
761035,Ganjam,86
751013,Khordha,86
762106,Kandhamal,86
756049,Balasore,85
765021,Rayagada,85
756168,Bhadrak,85
761206,Gajapati,85
754023,Jajpur,85
759130,Angul,85
757075,Mayurbhanj,84
756080,Balasore,84
754130,Cuttack,84
752090,Nayagarh,84
755044,Jajpur,83
753003,Cuttack,83
770002,Sundargarh,83
757084,Mayurbhanj,83
756120,Bhadrak,83
768224,Sambalpur,83
757051,Mayurbhanj,83
768017,Sambalpur,82
759105,Angul,82
756163,Bhadrak,82
752094,Nayagarh,82
770038,Sundargarh,82
757023,Mayurbhanj,81
762010,Kandhamal,81
761146,Ganjam,81
751001,Khordha,81
756122,Bhadrak,81
765023,Rayagada,81
757107,Mayurbhanj,81
758017,Keonjhar,81
757106,Mayurbhanj,80
760006,Ganjam,80
770014,Sundargarh,80
769042,Sundargarh,80
755028,Jajpur,80
759124,Angul,80
768045,Bargarh,80
756034,Balasore,79
770074,Sundargarh,79
754007,Cuttack,79
761002,Ganjam,79
768102,Bargarh,79
761030,Ganjam,79
754027,Cuttack,78
754201,Cuttack,78
757024,Mayurbhanj,78
758046,Keonjhar,77
758045,Keonjhar,77
752082,Nayagarh,77
754114,Jagatsinghpur,77
752119,Puri,77
755036,Jajpur,77
764046,Malkangiri,77
756060,Balasore,77
754210,Kendrapara,77
756111,Bhadrak,77
761151,Ganjam,77
752060,Khordha,76
752025,Nayagarh,76
751006,Khordha,76
752046,Puri,76
754227,Kendrapara,76
767030,Balangir,76
754025,Cuttack,76
764041,Koraput,76
764003,Koraput,75
768121,Deogarh,75
752045,Puri,75
756048,Balasore,74
754109,Jagatsinghpur,74
754153,Kendrapara,74
760010,Ganjam,74
752091,Nayagarh,74
754135,Jagatsinghpur,74
757105,Mayurbhanj,74
754142,Jagatsinghpur,74
757093,Mayurbhanj,74
757073,Mayurbhanj,73
757082,Mayurbhanj,73
757028,Mayurbhanj,73
768227,Sambalpur,72
762001,Kandhamal,72
754206,Cuttack,72
770034,Sundargarh,72
768111,Bargarh,72
752062,Khordha,72
767041,Balangir,72
752092,Nayagarh,72
766031,Kalahandi,71
768217,Jharsuguda,71
752089,Nayagarh,71
767061,Balangir,71
751007,Khordha,71
756118,Bhadrak,71
754112,Cuttack,71
761055,Ganjam,70
761132,Ganjam,70
768016,Sambalpur,70
756028,Balasore,69
768115,Bargarh,69
759024,Dhenkanal,68
752057,Khordha,68
759001,Dhenkanal,68
751010,Khordha,68
768004,Sambalpur,68
757021,Mayurbhanj,68
761213,Gajapati,68
753008,Cuttack,67
761120,Ganjam,67
761211,Gajapati,67
761143,Ganjam,67
757104,Mayurbhanj,66
754216,Kendrapara,66
756138,Bhadrak,66
761103,Ganjam,66
754024,Jajpur,66
757055,Mayurbhanj,66
769015,Sundargarh,66
757086,Mayurbhanj,65
765024,Rayagada,65
753002,Cuttack,64
766027,Kalahandi,64
767022,Balangir,64
768003,Sambalpur,64
761208,Gajapati,64
759146,Dhenkanal,63
752065,Nayagarh,63
752083,Nayagarh,62
752064,Khordha,62
761054,Ganjam,62
761100,Ganjam,62
757085,Mayurbhanj,62
757017,Mayurbhanj,62
768052,Bargarh,61
770011,Sundargarh,61
761041,Ganjam,61
762023,Boudh,61
770024,Sundargarh,61
761126,Ganjam,61
758020,Keonjhar,61
764085,Nabarangpur,60
756166,Balasore,60
766028,Kalahandi,60
756079,Balasore,60
764020,Koraput,59
752078,Nayagarh,59
770001,Sundargarh,59
761122,Ganjam,59
764040,Koraput,59
754100,Cuttack,59
770031,Sundargarh,59
751016,Khordha,59
761200,Gajapati,58
764081,Koraput,58
756037,Balasore,58
756113,Bhadrak,58
769007,Sundargarh,58
768219,Jharsuguda,58
768211,Jharsuguda,57
767046,Balangir,57
767021,Balangir,57
756123,Bhadrak,57
757074,Mayurbhanj,57
754296,Jajpur,57
770022,Sundargarh,57
761011,Ganjam,56
755024,Jajpur,56
761215,Gajapati,56
754218,Kendrapara,56
765033,Rayagada,56
754240,Kendrapara,56
758082,Keonjhar,56
761004,Ganjam,56
751017,Khordha,56
754006,Cuttack,56
754003,Cuttack,55
761007,Ganjam,55
758002,Keonjhar,55
753012,Cuttack,55
751018,Khordha,55
754223,Kendrapara,55
752013,Puri,55
757100,Mayurbhanj,54
770020,Sundargarh,54
751012,Khordha,54
762112,Kandhamal,53
757102,Mayurbhanj,53
752024,Nayagarh,53
756128,Bhadrak,53
754120,Jagatsinghpur,52
759122,Angul,52
752018,Khordha,52
770032,Sundargarh,52
768204,Jharsuguda,52
760007,Ganjam,52
761019,Ganjam,51
759145,Angul,51
757101,Mayurbhanj,51
761116,Ganjam,51
767068,Subarnapur,51
754105,Cuttack,51
751029,Khordha,51
761141,Ganjam,50
754231,Kendrapara,50
768225,Jharsuguda,50
754239,Kendrapara,49
753010,Cuttack,49
761140,Ganjam,49
756162,Bhadrak,48
757081,Mayurbhanj,48
760009,Ganjam,47
766026,Kalahandi,46
769002,Sundargarh,46
752038,Khordha,46
752118,Puri,45
761114,Ganjam,45
754293,Cuttack,45
751015,Khordha,45
754244,Kendrapara,45
769013,Sundargarh,45
768220,Jharsuguda,45
752022,Khordha,44
763008,Koraput,44
757083,Mayurbhanj,44
752069,Nayagarh,44
761110,Ganjam,44
759104,Angul,44
761201,Gajapati,44
751021,Khordha,44
756085,Balasore,44
761045,Ganjam,43
755049,Jajpur,43
752116,Puri,43
754021,Cuttack,43
754010,Cuttack,42
761043,Ganjam,42
762027,Kandhamal,42
756137,Bhadrak,42
761144,Ganjam,41
752121,Puri,41
761052,Ganjam,41
768214,Sambalpur,41
756182,Balasore,41
754294,Jagatsinghpur,41
755010,Jajpur,41
762019,Kandhamal,41
770019,Sundargarh,41
760008,Ganjam,40
761037,Ganjam,40
754290,Cuttack,39
752113,Puri,39
770013,Sundargarh,39
759107,Angul,39
770021,Sundargarh,38
770023,Sundargarh,38
753009,Cuttack,37
751020,Khordha,37
762030,Boudh,37
761042,Ganjam,37
766016,Kalahandi,36
769043,Sundargarh,36
754082,Jajpur,36
757002,Mayurbhanj,35
754289,Kendrapara,34
756139,Bhadrak,34
754203,Cuttack,33
756022,Balasore,33
754018,Cuttack,32
764006,Koraput,32
756051,Balasore,31
770073,Sundargarh,31
756039,Balasore,30
754162,Jagatsinghpur,30
768025,Sambalpur,30
769014,Sundargarh,30
768215,Jharsuguda,30
756055,Balasore,30
756167,Bhadrak,30
751009,Khordha,30
770072,Sundargarh,29
761006,Ganjam,29
751031,Khordha,29
770075,Sundargarh,29
769009,Sundargarh,29
761133,Ganjam,28
768218,Jharsuguda,28
764042,Malkangiri,28
757003,Mayurbhanj,28
754228,Kendrapara,28
768234,Jharsuguda,27
752120,Puri,27
768002,Sambalpur,27
756165,Bhadrak,27
768203,Jharsuguda,27
757031,Mayurbhanj,26
770052,Sundargarh,26
768026,Sambalpur,26
759040,Angul,25
751025,Khordha,25
769016,Sundargarh,25
754295,Cuttack,24
770070,Sundargarh,24
756144,Bhadrak,24
758036,Keonjhar,24
758040,Keonjhar,24
769005,Sundargarh,24
770041,Sundargarh,23
758037,Keonjhar,23
758026,Keonjhar,23
757103,Mayurbhanj,23
755020,Jajpur,23
754002,Cuttack,22
754253,Kendrapara,22
756084,Balasore,22
757027,Mayurbhanj,22
764048,Malkangiri,21
763001,Koraput,21
765034,Rayagada,21
764011,Koraput,21
769008,Sundargarh,21
760004,Ganjam,21
763002,Koraput,20
770046,Sundargarh,20
763003,Koraput,20
755050,Jajpur,20
751014,Khordha,19
769006,Sundargarh,19
768031,Bargarh,18
751022,Khordha,17
754026,Cuttack,17
770076,Sundargarh,16
754071,Cuttack,15
761210,Gajapati,15
753006,Cuttack,14
762022,Kandhamal,14
753007,Cuttack,13
752115,Khordha,13
759116,Angul,13
753013,Cuttack,13
770042,Sundargarh,11
768019,Sambalpur,11
752003,Puri,10
764062,Rayagada,9
759102,Angul,9
759148,Angul,9
768020,Sambalpur,8
759106,Angul,8
756053,Balasore,8
751023,Khordha,8
766032,Kalahandi,8
756018,Balasore,7
751028,Khordha,7
767042,Balangir,7
768233,Jharsuguda,7
764004,Koraput,6
752037,Khordha,6
754011,Cuttack,6
754298,Cuttack,6
768018,Sambalpur,5
754034,Cuttack,5
751005,Khordha,5
758086,Keonjhar,5
769010,Sundargarh,4
751004,Khordha,4
760005,Ganjam,4
756086,Balasore,3
754012,Khordha,3
769011,Sundargarh,3
760020,Boudh,3
754229,Kendrapara,3
754159,Jagatsinghpur,3
754145,Jagatsinghpur,2
759101,Angul,2
758052,Keonjhar,2
763004,Koraput,1
754143,Jagatsinghpur,1
754288,Cuttack,1
754285,Cuttack,1
751008,Khordha,1
767070,Balangir,1
766117,Nuapada,1
767034,Subarnapur,1
