date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Odisha,Ganjam,761144,25,195
01-03-2025,Odisha,Balasore,756083,52,267
01-03-2025,Odisha,Rayagada,765021,20,195
01-03-2025,Odisha,Jagatsinghpur,754111,19,160
01-03-2025,Odisha,Balangir,767041,19,149
01-03-2025,Odisha,Jajpur,755025,34,190
01-03-2025,Odisha,Khordha,751010,21,215
01-03-2025,Odisha,Mayurbhanj,757050,60,535
01-03-2025,Odisha,Subarnapur,767018,116,702
01-03-2025,Odisha,Jajpur,754023,14,92
01-03-2025,Odisha,Jharsuguda,768202,58,586
01-03-2025,Odisha,Mayurbhanj,757093,16,104
01-03-2025,Odisha,Mayurbhanj,757031,19,104
01-03-2025,Odisha,Khordha,752050,10,142
01-03-2025,Odisha,Keonjhar,758014,92,501
01-03-2025,Odisha,Sundargarh,770002,24,219
01-03-2025,Odisha,Angul,759122,20,170
01-03-2025,Odisha,Kendrapara,754217,92,656
01-03-2025,Odisha,Dhenkanal,759121,67,488
01-03-2025,Odisha,Keonjhar,758023,23,266
01-03-2025,Odisha,Kalahandi,766036,104,663
01-03-2025,Odisha,Mayurbhanj,757107,28,234
01-03-2025,Odisha,Khordha,751003,57,333
01-03-2025,Odisha,Balasore,756029,61,334
01-03-2025,Odisha,Mayurbhanj,757032,81,487
01-03-2025,Odisha,Puri,752120,13,56
01-03-2025,Odisha,Koraput,764005,11,185
01-03-2025,Odisha,Balangir,767021,10,99
01-03-2025,Odisha,Khordha,751019,57,434
01-03-2025,Odisha,Kendrapara,754225,46,499
01-03-2025,Odisha,Jajpur,754082,12,72
01-03-2025,Odisha,Kalahandi,766014,66,778
01-03-2025,Odisha,Dhenkanal,759023,34,214
01-03-2025,Odisha,Balasore,756049,32,227
01-03-2025,Odisha,Ganjam,761110,14,219
01-03-2025,Odisha,Bargarh,768032,43,529
01-03-2025,Odisha,Rayagada,765029,67,358
01-03-2025,Odisha,Bargarh,768028,107,953
01-03-2025,Odisha,Nayagarh,752084,40,358
01-03-2025,Odisha,Nabarangpur,764071,68,952
01-03-2025,Odisha,Khordha,752018,23,132
01-03-2025,Odisha,Keonjhar,758043,53,393
01-03-2025,Odisha,Bhadrak,756116,55,302
01-03-2025,Odisha,Malkangiri,764086,31,219
01-03-2025,Odisha,Mayurbhanj,757105,32,200
01-03-2025,Odisha,Cuttack,753009,11,94
01-03-2025,Odisha,Puri,752014,59,954
01-03-2025,Odisha,Jajpur,755009,41,366
01-03-2025,Odisha,Kendrapara,754134,25,268
01-03-2025,Odisha,Dhenkanal,759019,60,289
01-03-2025,Odisha,Jagatsinghpur,754132,19,174
01-03-2025,Odisha,Nayagarh,752089,29,220
01-03-2025,Odisha,Kendrapara,754253,10,71
01-03-2025,Odisha,Keonjhar,758045,22,208
01-03-2025,Odisha,Sundargarh,770022,19,266
01-03-2025,Odisha,Jajpur,754214,36,244
01-03-2025,Odisha,Mayurbhanj,757037,79,588
01-03-2025,Odisha,Cuttack,754293,35,150
01-03-2025,Odisha,Angul,759143,41,214
01-03-2025,Odisha,Cuttack,754004,50,588
01-03-2025,Odisha,Keonjhar,758038,18,189
01-03-2025,Odisha,Bargarh,768115,10,117
01-03-2025,Odisha,Kandhamal,762112,11,161
01-03-2025,Odisha,Balasore,756020,64,391
01-03-2025,Odisha,Bhadrak,756130,75,593
01-03-2025,Odisha,Bhadrak,756111,32,180
01-03-2025,Odisha,Kalahandi,766018,52,889
01-03-2025,Odisha,Balasore,756003,73,442
01-03-2025,Odisha,Ganjam,761140,18,279
01-03-2025,Odisha,Balasore,756001,38,325
01-03-2025,Odisha,Nabarangpur,764074,46,1110
01-03-2025,Odisha,Sundargarh,770019,13,114
01-03-2025,Odisha,Jajpur,755023,46,326
01-03-2025,Odisha,Mayurbhanj,757001,39,465
01-03-2025,Odisha,Jajpur,755022,26,146
01-03-2025,Odisha,Ganjam,761131,57,553
01-03-2025,Odisha,Keonjhar,758080,43,233
01-03-2025,Odisha,Malkangiri,764047,83,514
01-03-2025,Odisha,Jagatsinghpur,754137,21,265
01-03-2025,Odisha,Mayurbhanj,757043,77,593
01-03-2025,Odisha,Balangir,767066,31,168
01-03-2025,Odisha,Dhenkanal,759016,115,637
01-03-2025,Odisha,Sambalpur,768105,86,510
01-03-2025,Odisha,Koraput,764058,15,277
01-03-2025,Odisha,Mayurbhanj,757028,13,286
01-03-2025,Odisha,Dhenkanal,759022,54,238
01-03-2025,Odisha,Ganjam,761004,37,258
01-03-2025,Odisha,Kalahandi,766013,24,474
01-03-2025,Odisha,Mayurbhanj,757077,28,312
01-03-2025,Odisha,Sundargarh,769007,14,139
01-03-2025,Odisha,Ganjam,761029,83,665
01-03-2025,Odisha,Balasore,756047,111,472
01-03-2025,Odisha,Sundargarh,769016,11,94
01-03-2025,Odisha,Bhadrak,756117,124,735
01-07-2025,Odisha,Malkangiri,764052,140,1870
01-09-2025,Odisha,Angul,759119,2,46
01-09-2025,Odisha,Angul,759122,0,7
01-09-2025,Odisha,Dhenkanal,759022,0,1
01-09-2025,Odisha,Angul,759040,0,1
01-09-2025,Odisha,Angul,759118,0,4
01-09-2025,Odisha,Angul,759128,0,2
01-09-2025,Odisha,Balangir,767002,6,12
01-09-2025,Odisha,Subarnapur,767016,0,3
01-09-2025,Odisha,Balangir,767020,2,9
01-09-2025,Odisha,Balangir,767024,1,11
01-09-2025,Odisha,Balangir,767028,0,5
01-09-2025,Odisha,Balangir,767046,1,9
01-09-2025,Odisha,Balasore,756033,0,19
01-09-2025,Odisha,Balasore,756035,0,6
01-09-2025,Odisha,Balasore,756044,0,4
01-09-2025,Odisha,Balasore,756058,0,16
01-09-2025,Odisha,Mayurbhanj,757055,0,2
01-09-2025,Odisha,Balasore,756002,2,5
01-09-2025,Odisha,Balasore,756026,3,7
01-09-2025,Odisha,Balasore,756027,5,18
01-09-2025,Odisha,Balasore,756033,3,15
01-09-2025,Odisha,Balasore,756040,0,9
01-09-2025,Odisha,Balasore,756041,1,3
01-09-2025,Odisha,Balasore,756045,0,18
01-09-2025,Odisha,Balasore,756047,3,11
01-09-2025,Odisha,Balasore,756048,2,9
01-09-2025,Odisha,Balasore,756079,0,6
01-09-2025,Odisha,Balasore,756086,0,1
01-09-2025,Odisha,Balasore,756126,4,8
01-09-2025,Odisha,Balasore,756182,0,9
01-09-2025,Odisha,Bargarh,768033,3,27
01-09-2025,Odisha,Bargarh,768034,0,18
01-09-2025,Odisha,Bargarh,768037,3,12
01-09-2025,Odisha,Bargarh,768040,2,11
01-09-2025,Odisha,Bargarh,768050,1,3
01-09-2025,Odisha,Bargarh,768102,1,13
01-09-2025,Odisha,Boudh,762016,1,5
01-09-2025,Odisha,Bhadrak,756100,1,15
01-09-2025,Odisha,Bhadrak,756112,0,10
01-09-2025,Odisha,Bhadrak,756117,5,32
01-09-2025,Odisha,Bhadrak,756118,2,7
01-09-2025,Odisha,Bhadrak,756120,1,6
01-09-2025,Odisha,Bhadrak,756122,1,7
01-09-2025,Odisha,Bhadrak,756123,3,5
01-09-2025,Odisha,Bhadrak,756164,3,13
01-09-2025,Odisha,Bhadrak,756168,0,3
01-09-2025,Odisha,Bhadrak,756171,4,15
01-09-2025,Odisha,Boudh,762026,0,15
01-09-2025,Odisha,Cuttack,753002,2,4
01-09-2025,Odisha,Cuttack,753003,0,3
01-09-2025,Odisha,Cuttack,754003,0,3
01-09-2025,Odisha,Khordha,754005,1,2
01-09-2025,Odisha,Cuttack,754007,2,5
01-09-2025,Odisha,Cuttack,754008,3,14
01-09-2025,Odisha,Cuttack,754009,2,13
01-09-2025,Odisha,Cuttack,754018,1,6
01-09-2025,Odisha,Jagatsinghpur,754103,0,1
01-09-2025,Odisha,Cuttack,754131,1,9
01-09-2025,Odisha,Cuttack,754202,1,9
01-09-2025,Odisha,Cuttack,754206,0,6
01-09-2025,Odisha,Cuttack,754293,0,7
01-09-2025,Odisha,Jagatsinghpur,754294,0,2
01-09-2025,Odisha,Deogarh,768110,3,37
01-09-2025,Odisha,Dhenkanal,759013,7,17
01-09-2025,Odisha,Dhenkanal,759016,4,58
01-09-2025,Odisha,Dhenkanal,759022,1,21
01-09-2025,Odisha,Dhenkanal,759024,0,12
01-09-2025,Odisha,Dhenkanal,759120,3,22
01-09-2025,Odisha,Gajapati,761211,0,14
01-09-2025,Odisha,Gajapati,761217,6,32
01-09-2025,Odisha,Ganjam,760006,1,9
01-09-2025,Odisha,Ganjam,760008,0,4
01-09-2025,Odisha,Ganjam,761005,0,11
01-09-2025,Odisha,Ganjam,761011,1,4
01-09-2025,Odisha,Ganjam,761019,3,3
01-09-2025,Odisha,Ganjam,761028,0,20
01-09-2025,Odisha,Ganjam,761043,0,2
01-09-2025,Odisha,Ganjam,761104,3,24
01-09-2025,Odisha,Ganjam,761110,1,5
01-09-2025,Odisha,Ganjam,761114,0,7
01-09-2025,Odisha,Ganjam,761131,0,11
01-09-2025,Odisha,Jajpur,754082,0,2
01-09-2025,Odisha,Jajpur,754214,0,3
01-09-2025,Odisha,Jajpur,755001,1,6
01-09-2025,Odisha,Jajpur,755009,2,10
01-09-2025,Odisha,Jajpur,755018,4,6
01-09-2025,Odisha,Jajpur,755019,0,15
01-09-2025,Odisha,Jajpur,755036,0,7
01-09-2025,Odisha,Jagatsinghpur,754103,0,3
01-09-2025,Odisha,Jagatsinghpur,754107,1,3
01-09-2025,Odisha,Jagatsinghpur,754111,0,3
01-09-2025,Odisha,Jagatsinghpur,754114,1,5
01-09-2025,Odisha,Jagatsinghpur,754119,1,7
01-09-2025,Odisha,Jagatsinghpur,754138,1,4
01-09-2025,Odisha,Jagatsinghpur,754139,0,7
01-09-2025,Odisha,Jagatsinghpur,754141,1,11
01-09-2025,Odisha,Jagatsinghpur,754138,0,6
01-09-2025,Odisha,Jagatsinghpur,754162,0,5
01-09-2025,Odisha,Jajpur,754023,0,1
01-09-2025,Odisha,Jajpur,754024,1,2
01-09-2025,Odisha,Jajpur,755001,0,5
01-09-2025,Odisha,Jajpur,755008,1,24
01-09-2025,Odisha,Jajpur,755016,0,2
01-09-2025,Odisha,Jajpur,755018,2,8
01-09-2025,Odisha,Jajpur,755023,2,29
01-09-2025,Odisha,Jajpur,755031,0,2
01-09-2025,Odisha,Jajpur,755050,0,1
01-09-2025,Odisha,Jharsuguda,768201,2,11
01-09-2025,Odisha,Jharsuguda,768215,1,6
01-09-2025,Odisha,Jharsuguda,768216,1,23
01-09-2025,Odisha,Sambalpur,768221,2,3
01-09-2025,Odisha,Kalahandi,766020,3,13
01-09-2025,Odisha,Kalahandi,766029,4,30
01-09-2025,Odisha,Kalahandi,766036,3,42
01-09-2025,Odisha,Kalahandi,766101,3,8
01-09-2025,Odisha,Kandhamal,762012,2,14
01-09-2025,Odisha,Kandhamal,762019,1,4
01-09-2025,Odisha,Kandhamal,762028,5,5
01-09-2025,Odisha,Kandhamal,762029,1,17
01-09-2025,Odisha,Kandhamal,762100,3,4
01-09-2025,Odisha,Kandhamal,762101,1,26
01-09-2025,Odisha,Kandhamal,762105,2,23
01-09-2025,Odisha,Jagatsinghpur,754141,3,9
01-09-2025,Odisha,Kendrapara,754212,4,31
01-09-2025,Odisha,Kendrapara,754219,0,9
01-09-2025,Odisha,Kendrapara,754231,0,1
01-09-2025,Odisha,Kendrapara,754244,1,2
01-09-2025,Odisha,Keonjhar,758018,3,32
01-09-2025,Odisha,Keonjhar,758025,5,14
01-09-2025,Odisha,Keonjhar,758026,1,2
01-09-2025,Odisha,Keonjhar,758037,0,1
01-09-2025,Odisha,Keonjhar,758038,1,10
01-09-2025,Odisha,Keonjhar,758079,0,9
01-09-2025,Odisha,Keonjhar,758081,0,7
01-09-2025,Odisha,Keonjhar,758087,0,1
01-09-2025,Odisha,Khordha,751012,1,6
01-09-2025,Odisha,Khordha,751014,1,1
01-09-2025,Odisha,Khordha,751018,1,5
01-09-2025,Odisha,Khordha,752020,1,10
01-09-2025,Odisha,Khordha,752021,0,7
01-09-2025,Odisha,Khordha,752023,0,3
01-09-2025,Odisha,Khordha,752031,0,14
01-09-2025,Odisha,Khordha,752035,1,7
01-09-2025,Odisha,Khordha,752050,4,13
01-09-2025,Odisha,Khordha,752055,1,8
01-09-2025,Odisha,Khordha,752062,1,3
01-09-2025,Odisha,Khordha,754005,1,6
01-09-2025,Odisha,Khordha,751003,0,2
01-09-2025,Odisha,Khordha,752018,0,5
01-09-2025,Odisha,Khordha,752020,0,3
01-09-2025,Odisha,Khordha,752022,0,2
01-09-2025,Odisha,Khordha,752023,0,1
01-09-2025,Odisha,Khordha,752103,1,1
01-09-2025,Odisha,Koraput,763008,1,8
01-09-2025,Odisha,Koraput,764005,4,16
01-09-2025,Odisha,Koraput,764014,4,46
01-09-2025,Odisha,Koraput,764027,4,37
01-09-2025,Odisha,Koraput,764039,3,32
01-09-2025,Odisha,Balasore,756030,0,1
01-09-2025,Odisha,Mayurbhanj,757002,2,4
01-09-2025,Odisha,Mayurbhanj,757016,1,7
01-09-2025,Odisha,Mayurbhanj,757018,0,12
01-09-2025,Odisha,Mayurbhanj,757019,3,12
01-09-2025,Odisha,Mayurbhanj,757022,3,12
01-09-2025,Odisha,Mayurbhanj,757023,0,6
01-09-2025,Odisha,Mayurbhanj,757026,5,12
01-09-2025,Odisha,Mayurbhanj,757033,2,21
01-09-2025,Odisha,Mayurbhanj,757048,3,27
01-09-2025,Odisha,Mayurbhanj,757051,1,4
01-09-2025,Odisha,Mayurbhanj,757075,0,26
01-09-2025,Odisha,Mayurbhanj,757079,2,21
01-09-2025,Odisha,Mayurbhanj,757086,1,7
01-09-2025,Odisha,Mayurbhanj,757093,2,5
01-09-2025,Odisha,Mayurbhanj,757107,0,8
01-09-2025,Odisha,Nabarangpur,764070,1,11
01-09-2025,Odisha,Nabarangpur,764072,6,85
01-09-2025,Odisha,Nabarangpur,764074,4,28
01-09-2025,Odisha,Nayagarh,752024,0,6
01-09-2025,Odisha,Nayagarh,752068,4,16
01-09-2025,Odisha,Nayagarh,752084,4,19
01-09-2025,Odisha,Nayagarh,752090,3,12
01-09-2025,Odisha,Nayagarh,752094,2,3
01-09-2025,Odisha,Nuapada,766107,2,19
01-09-2025,Odisha,Nuapada,766117,0,1
01-09-2025,Odisha,Puri,752011,3,54
01-09-2025,Odisha,Puri,752012,2,15
01-09-2025,Odisha,Khordha,752020,0,1
01-09-2025,Odisha,Puri,752106,1,9
01-09-2025,Odisha,Puri,752116,0,2
01-09-2025,Odisha,Cuttack,754004,0,2
01-09-2025,Odisha,Rayagada,765020,2,25
01-09-2025,Odisha,Sambalpur,768003,0,7
01-09-2025,Odisha,Sambalpur,768004,1,7
01-09-2025,Odisha,Sambalpur,768105,5,25
01-09-2025,Odisha,Subarnapur,767016,3,22
01-09-2025,Odisha,Subarnapur,767017,1,5
01-09-2025,Odisha,Balangir,767020,0,4
01-09-2025,Odisha,Subarnapur,767045,0,6
01-09-2025,Odisha,Sundargarh,769001,0,4
01-09-2025,Odisha,Sundargarh,769003,0,4
01-09-2025,Odisha,Sundargarh,769004,0,2
01-09-2025,Odisha,Sundargarh,769012,0,3
01-09-2025,Odisha,Sundargarh,769014,0,1
01-09-2025,Odisha,Sundargarh,769042,0,3
01-09-2025,Odisha,Sundargarh,770001,0,3
01-09-2025,Odisha,Sundargarh,770013,0,3
01-09-2025,Odisha,Sundargarh,770017,0,3
01-09-2025,Odisha,Sundargarh,770073,1,1
01-09-2025,Odisha,Sundargarh,769001,1,8
01-09-2025,Odisha,Sundargarh,769002,0,5
01-09-2025,Odisha,Sundargarh,769005,0,3
01-09-2025,Odisha,Sundargarh,769014,2,4
01-09-2025,Odisha,Sundargarh,769043,1,7
01-09-2025,Odisha,Sundargarh,770016,4,14
01-09-2025,Odisha,Sundargarh,770024,0,1
01-09-2025,Odisha,Sundargarh,770037,8,28
01-09-2025,Odisha,Sundargarh,770038,1,25
01-09-2025,Odisha,Sundargarh,770039,1,4
01-09-2025,Odisha,Sundargarh,770041,1,3
01-09-2025,Odisha,Sundargarh,770043,3,16
01-09-2025,Odisha,Sundargarh,770051,2,18
01-09-2025,Odisha,Sundargarh,770073,1,3
01-09-2025,Odisha,Balangir,767002,0,10
01-09-2025,Odisha,Balangir,767024,0,1
01-09-2025,Odisha,Balangir,767027,0,1
01-09-2025,Odisha,Balangir,767029,1,2
01-09-2025,Odisha,Balangir,767040,1,5
01-09-2025,Odisha,Balangir,767046,0,2
01-09-2025,Odisha,Balasore,756019,0,2
01-09-2025,Odisha,Balasore,756044,0,1
01-09-2025,Odisha,Bargarh,768030,1,4
01-09-2025,Odisha,Bhadrak,756101,0,7
01-09-2025,Odisha,Bhadrak,756116,0,2
01-09-2025,Odisha,Bhadrak,756118,0,1
01-09-2025,Odisha,Bhadrak,756121,1,0
01-09-2025,Odisha,Bhadrak,756128,0,5
01-09-2025,Odisha,Bhadrak,756181,1,5
01-09-2025,Odisha,Cuttack,753012,1,1
01-09-2025,Odisha,Gajapati,761207,0,1
01-09-2025,Odisha,Ganjam,760002,0,6
01-09-2025,Odisha,Ganjam,761008,0,1
01-09-2025,Odisha,Ganjam,761018,0,1
01-09-2025,Odisha,Ganjam,761100,0,3
01-09-2025,Odisha,Ganjam,761116,0,2
01-09-2025,Odisha,Jajpur,755050,0,1
01-09-2025,Odisha,Kendrapara,754223,0,1
01-09-2025,Odisha,Keonjhar,758031,0,1
01-09-2025,Odisha,Khordha,751006,0,3
01-09-2025,Odisha,Khordha,751010,0,1
01-09-2025,Odisha,Khordha,751017,1,1
01-09-2025,Odisha,Khordha,751020,0,2
01-09-2025,Odisha,Khordha,751024,0,1
01-09-2025,Odisha,Khordha,752055,0,1
01-09-2025,Odisha,Koraput,764005,0,3
01-09-2025,Odisha,Koraput,764020,0,2
01-09-2025,Odisha,Malkangiri,764045,0,2
01-09-2025,Odisha,Nayagarh,752026,0,1
01-09-2025,Odisha,Puri,752014,0,5
01-09-2025,Odisha,Rayagada,765002,1,2
01-09-2025,Odisha,Rayagada,765018,0,1
01-09-2025,Odisha,Sambalpur,768001,0,1
01-09-2025,Odisha,Subarnapur,767017,0,7
02-09-2025,Odisha,Gajapati,761207,0,1
02-09-2025,Odisha,Angul,759104,0,3
02-09-2025,Odisha,Angul,759107,0,2
02-09-2025,Odisha,Angul,759111,0,1
02-09-2025,Odisha,Angul,759123,2,2
02-09-2025,Odisha,Angul,759128,0,4
02-09-2025,Odisha,Angul,759130,2,5
02-09-2025,Odisha,Balangir,767002,5,12
02-09-2025,Odisha,Balangir,767020,2,13
02-09-2025,Odisha,Balangir,767026,6,42
02-09-2025,Odisha,Balangir,767030,0,8
02-09-2025,Odisha,Balangir,767038,2,19
02-09-2025,Odisha,Balangir,767039,4,16
02-09-2025,Odisha,Balangir,767042,0,1
02-09-2025,Odisha,Balangir,767061,1,7
02-09-2025,Odisha,Balasore,756002,0,1
02-09-2025,Odisha,Balasore,756019,0,5
02-09-2025,Odisha,Balasore,756030,0,2
02-09-2025,Odisha,Balasore,756043,1,3
02-09-2025,Odisha,Balasore,756051,0,1
02-09-2025,Odisha,Balasore,756060,1,1
02-09-2025,Odisha,Balasore,756080,0,2
02-09-2025,Odisha,Balasore,756081,0,2
02-09-2025,Odisha,Balasore,756085,0,6
02-09-2025,Odisha,Bhadrak,756115,1,4
02-09-2025,Odisha,Balasore,756182,0,1
02-09-2025,Odisha,Balasore,756001,0,7
02-09-2025,Odisha,Balasore,756020,0,2
02-09-2025,Odisha,Balasore,756024,2,9
02-09-2025,Odisha,Balasore,756028,3,8
02-09-2025,Odisha,Balasore,756040,6,8
02-09-2025,Odisha,Balasore,756041,0,2
02-09-2025,Odisha,Balasore,756043,2,11
02-09-2025,Odisha,Balasore,756048,0,4
02-09-2025,Odisha,Balasore,756051,1,1
02-09-2025,Odisha,Balasore,756056,1,11
02-09-2025,Odisha,Balasore,756134,1,2
02-09-2025,Odisha,Bargarh,768032,4,23
02-09-2025,Odisha,Bargarh,768050,1,8
02-09-2025,Odisha,Deogarh,768108,0,1
02-09-2025,Odisha,Boudh,762018,0,3
02-09-2025,Odisha,Bhadrak,756100,2,25
02-09-2025,Odisha,Bhadrak,756114,2,22
02-09-2025,Odisha,Bhadrak,756116,5,22
02-09-2025,Odisha,Bhadrak,756117,2,27
02-09-2025,Odisha,Bhadrak,756118,0,4
02-09-2025,Odisha,Bhadrak,756138,0,2
02-09-2025,Odisha,Bhadrak,756165,0,2
02-09-2025,Odisha,Boudh,762014,4,10
02-09-2025,Odisha,Boudh,762015,3,19
02-09-2025,Odisha,Boudh,762017,0,11
02-09-2025,Odisha,Boudh,762026,0,7
02-09-2025,Odisha,Cuttack,753009,1,2
02-09-2025,Odisha,Cuttack,753010,0,3
02-09-2025,Odisha,Khordha,754005,2,7
02-09-2025,Odisha,Cuttack,754007,1,9
02-09-2025,Odisha,Cuttack,754025,0,9
02-09-2025,Odisha,Cuttack,754031,2,10
02-09-2025,Odisha,Cuttack,754037,4,11
02-09-2025,Odisha,Cuttack,754112,0,4
02-09-2025,Odisha,Cuttack,754201,1,6
02-09-2025,Odisha,Cuttack,754203,0,1
02-09-2025,Odisha,Cuttack,754209,1,19
02-09-2025,Odisha,Cuttack,754221,2,13
02-09-2025,Odisha,Cuttack,754295,0,1
02-09-2025,Odisha,Dhenkanal,759019,1,9
02-09-2025,Odisha,Dhenkanal,759020,1,3
02-09-2025,Odisha,Dhenkanal,759021,2,10
02-09-2025,Odisha,Dhenkanal,759025,1,5
02-09-2025,Odisha,Dhenkanal,759027,6,9
02-09-2025,Odisha,Ganjam,761003,0,1
02-09-2025,Odisha,Gajapati,761206,1,10
02-09-2025,Odisha,Gajapati,761207,3,11
02-09-2025,Odisha,Ganjam,761007,0,9
02-09-2025,Odisha,Ganjam,761008,3,14
02-09-2025,Odisha,Ganjam,761013,1,9
02-09-2025,Odisha,Ganjam,761018,3,15
02-09-2025,Odisha,Ganjam,761019,2,3
02-09-2025,Odisha,Ganjam,761032,1,27
02-09-2025,Odisha,Ganjam,761103,1,11
02-09-2025,Odisha,Ganjam,761116,0,1
02-09-2025,Odisha,Ganjam,761117,1,19
02-09-2025,Odisha,Ganjam,761118,5,19
02-09-2025,Odisha,Ganjam,761121,3,18
02-09-2025,Odisha,Ganjam,761131,1,10
02-09-2025,Odisha,Jajpur,754292,1,3
02-09-2025,Odisha,Jajpur,754296,0,2
02-09-2025,Odisha,Jajpur,755011,0,2
02-09-2025,Odisha,Jajpur,755014,1,1
02-09-2025,Odisha,Jajpur,755027,1,12
02-09-2025,Odisha,Jagatsinghpur,754136,0,5
02-09-2025,Odisha,Jagatsinghpur,754294,0,3
02-09-2025,Odisha,Jagatsinghpur,754106,0,4
02-09-2025,Odisha,Jagatsinghpur,754108,0,5
02-09-2025,Odisha,Jagatsinghpur,754109,0,4
02-09-2025,Odisha,Jagatsinghpur,754113,0,4
02-09-2025,Odisha,Jagatsinghpur,754132,0,1
02-09-2025,Odisha,Kendrapara,754134,0,1
02-09-2025,Odisha,Jagatsinghpur,754136,0,3
02-09-2025,Odisha,Jajpur,755001,0,7
02-09-2025,Odisha,Jajpur,755006,0,12
02-09-2025,Odisha,Jajpur,755007,0,22
02-09-2025,Odisha,Jajpur,755011,2,3
02-09-2025,Odisha,Jajpur,755014,1,9
02-09-2025,Odisha,Jajpur,755015,1,13
02-09-2025,Odisha,Jajpur,755017,0,12
02-09-2025,Odisha,Jajpur,755024,0,6
02-09-2025,Odisha,Jajpur,755036,0,5
02-09-2025,Odisha,Jharsuguda,768201,1,14
02-09-2025,Odisha,Jharsuguda,768204,0,4
02-09-2025,Odisha,Jharsuguda,768216,0,19
